Table,Column,Position,Oracle_Data_Type,SQL_Server_Data_Type,GridName,GridID
R5PROJBUDCLASSES,PCL_PROJECT,1,VARCHAR2(20),nvarchar(20),,
R5PROJBUDCLASSES,PCL_PROJBUD,2,VARCHAR2(20),nvarchar(20),,
R5PROJBUDCODES,PBC_CODE,1,VARCHAR2(20),nvarchar(20),,
R5PROJECTS,PRJ_CODE,1,VARCHAR2(20),nvarchar(20),,
R5PROMPTVALUES,PMV_PROMPT,1,VARCHAR2(8),nvarchar(8),,
R5PROMPTVALUES,PMV_ASPECT,2,VARCHAR2(30),nvarchar(30),,
R5PROMPTVALUES,PMV_CODE,3,VARCHAR2(40),nvarchar(40),,
R5PROMPTVALUES,PMV_SEQNO,4,"NUMBER(4,0)","numeric(4,0)",,
R5PROMPTWEBSERVICES,PWS_PROCESSGROUP,1,"NUMBER(3,0)","numeric(3,0)",,
R5PROMPTWEBSERVICES,PWS_WSPRMCODE,2,VARCHAR2(6),nvarchar(6),,
R5PROPERTIES,PRO_CODE,1,VARCHAR2(8),nvarchar(8),,
R5PSCATEGORIES,PSC_CODE,1,VARCHAR2(30),nvarchar(30),,
R5PSCATEGORIES,PSC_ORG,2,VARCHAR2(15),nvarchar(15),,
R5PTWEVENTLOG,PTL_PK,1,VARCHAR2(30),nvarchar(30),,
R5PULLDOWNMENU,PDM_GROUP,1,VARCHAR2(12),nvarchar(12),,
R5PULLDOWNMENU,PDM_LINE,2,NUMBER,int,,
R5PUMPS,PUM_DEPOT,1,VARCHAR2(30),nvarchar(30),,
R5PUMPS,PUM_DEPOT_ORG,2,VARCHAR2(15),nvarchar(15),,
R5PUMPS,PUM_CODE,3,VARCHAR2(30),nvarchar(30),,
R5PURCHASEINTERFACE,PUI_TRANSID,1,NUMBER,bigint,,
R5PVDESCRIPTIONS,PVD_PROPERTY,1,VARCHAR2(8),nvarchar(8),,
R5PVDESCRIPTIONS,PVD_VALUE,2,VARCHAR2(80),nvarchar(80),,
R5PYTHONEVENTS,PYE_CODE,1,VARCHAR2(30),nvarchar(30),,
R5QUALIFICATIONS,QUA_CODE,1,VARCHAR2(20),nvarchar(20),,
R5QUERIES,QUE_CODE,1,VARCHAR2(8),nvarchar(8),,
R5QUERYFIELD,DQF_FIELDID,1,"NUMBER(14,0)","numeric(14,0)",,
R5QUERYFIELD,DQF_DDSPYID,2,"NUMBER(14,0)","numeric(14,0)",,
R5QUERYFIELD,DQF_VIEWTYPE,3,VARCHAR2(8),nvarchar(8),,
R5QUOTATIONS,QUO_CODE,1,VARCHAR2(30),nvarchar(30),,
R5QUOTATIONS,QUO_SEQNO,2,VARCHAR2(2),nvarchar(2),,
R5QUOTLINES,QUL_QUOTATION,1,VARCHAR2(30),nvarchar(30),,
R5QUOTLINES,QUL_SEQNO,2,VARCHAR2(2),nvarchar(2),,
R5QUOTLINES,QUL_LINE,3,"NUMBER(8,0)","numeric(8,0)",,
R5QUOTTASKS,QUT_QUOTATION,1,VARCHAR2(30),nvarchar(30),,
R5QUOTTASKS,QUT_SEQNO,2,VARCHAR2(2),nvarchar(2),,
R5QUOTTASKS,QUT_EVENT,3,VARCHAR2(30),nvarchar(30),,
R5QUOTTASKS,QUT_ACT,4,"NUMBER(8,0)","numeric(8,0)",,
R5QUOTTASKS,QUT_LINE,5,"NUMBER(8,0)","numeric(8,0)",,
R5RCMFAILUREMITIGATION,RFM_CODE,1,VARCHAR2(30),nvarchar(30),,
R5RCMSTRUCTURE,RCM_OBJECT,1,VARCHAR2(35),nvarchar(35),,
R5RCMSTRUCTURE,RCM_OBJECT_ORG,2,VARCHAR2(15),nvarchar(15),,
R5RCMSTRUCTURE,RCM_CODE,3,VARCHAR2(30),nvarchar(30),,
R5RCMTEMPLATEEQUIPCLASSES,REC_PK,1,VARCHAR2(30),nvarchar(30),,
R5RCMTEMPLATES,RCT_CODE,1,VARCHAR2(30),nvarchar(30),,
R5RCMTEMPLATES,RCT_ORG,2,VARCHAR2(15),nvarchar(15),,
R5RCMTEMPLATES,RCT_REVISION,3,"NUMBER(4,0)","numeric(4,0)",,
R5RCODES,RCO_RENTITY,1,VARCHAR2(4),nvarchar(4),,
R5RCODES,RCO_RCODE,2,VARCHAR2(4),nvarchar(4),,
R5READINGS,REA_CODE,1,VARCHAR2(30),nvarchar(30),,
