tkd_trans,tkd_promptdata1,legacy_part_number,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,37933,E04-90-4350-900,PART,PART,*,*,3648#BCRTC,+,+
LDOC,37935,E04-90-5210-705,PART,PART,*,*,3649#BCRTC,+,+
LDOC,37936,E04-91-0591-001,PART,PART,*,*,11998#BCRTC,+,+
LDOC,37937,E04-91-0591-002,PART,PART,*,*,11999#BCRTC,+,+
LDOC,37938,E04-91-0591-003,PART,PART,*,*,12000#BCRTC,+,+
LDOC,37939,E04-91-0591-004,PART,PART,*,*,12001#BCRTC,+,+
LDOC,37940,E04-91-0591-005,PART,PART,*,*,12002#BCRTC,+,+
LDOC,37941,E04-91-0591-006,PART,PART,*,*,12003#BCRTC,+,+
LDOC,37942,E04-91-0591-007,PART,PART,*,*,12004#BCRTC,+,+
LDOC,37943,E04-91-0591-008,PART,PART,*,*,12005#BCRTC,+,+
LDOC,37944,E04-91-0591-009,PART,PART,*,*,12006#BCRTC,+,+
LDOC,37945,E04-91-0591-010,PART,PART,*,*,11993#BCRTC,+,+
LDOC,37946,E04-91-0591-011,PART,PART,*,*,11994#BCRTC,+,+
LDOC,37947,E04-91-0591-012,PART,PART,*,*,11995#BCRTC,+,+
LDOC,37948,E04-91-0591-013,PART,PART,*,*,11996#BCRTC,+,+
LDOC,37949,E04-91-0591-014,PART,PART,*,*,11997#BCRTC,+,+
LDOC,37950,E04-91-0591-015,PART,PART,*,*,11992#BCRTC,+,+
LDOC,37951,E04-91-0591-016,PART,PART,*,*,12007#BCRTC,+,+
LDOC,37952,E04-91-0591-017,PART,PART,*,*,12008#BCRTC,+,+
LDOC,37953,E04-91-0591-018,PART,PART,*,*,12009#BCRTC,+,+
LDOC,37954,E04-91-0591-019,PART,PART,*,*,12010#BCRTC,+,+
LDOC,37955,E04-91-0591-022,PART,PART,*,*,12013#BCRTC,+,+
LDOC,37956,E04-91-0591-024,PART,PART,*,*,12015#BCRTC,+,+
LDOC,37957,E04-91-0591-025,PART,PART,*,*,12016#BCRTC,+,+
LDOC,37958,E04-91-0591-027,PART,PART,*,*,12018#BCRTC,+,+
LDOC,37959,E04-91-0591-031,PART,PART,*,*,12460#BCRTC,+,+
LDOC,37960,E04-91-0591-032,PART,PART,*,*,12881#BCRTC,+,+
LDOC,37961,E04-91-0591-033,PART,PART,*,*,12882#BCRTC,+,+
LDOC,37962,E04-91-0591-034,PART,PART,*,*,12883#BCRTC,+,+
LDOC,37963,E04-91-0591-035,PART,PART,*,*,12884#BCRTC,+,+
LDOC,37964,E04-91-0591-036,PART,PART,*,*,12885#BCRTC,+,+
LDOC,37965,E04-91-0591-037,PART,PART,*,*,12886#BCRTC,+,+
LDOC,37966,E04-91-0591-038,PART,PART,*,*,12887#BCRTC,+,+
LDOC,37967,E04-91-0591-039,PART,PART,*,*,12888#BCRTC,+,+
LDOC,37968,E04-91-0591-040,PART,PART,*,*,12889#BCRTC,+,+
LDOC,37969,E04-91-0591-041,PART,PART,*,*,12890#BCRTC,+,+
LDOC,37970,E04-91-0591-043,PART,PART,*,*,12892#BCRTC,+,+
LDOC,37971,E04-91-0591-045,PART,PART,*,*,12894#BCRTC,+,+
LDOC,37972,E04-91-0591-046,PART,PART,*,*,12914#BCRTC,+,+
LDOC,37973,E04-91-0591-047,PART,PART,*,*,12946#BCRTC,+,+
LDOC,37974,E04-91-0591-048,PART,PART,*,*,12945#BCRTC,+,+
LDOC,37975,E04-91-0591-049,PART,PART,*,*,12944#BCRTC,+,+
LDOC,37976,E04-91-0591-052,PART,PART,*,*,12941#BCRTC,+,+
LDOC,37977,E04-91-0591-054,PART,PART,*,*,12939#BCRTC,+,+
LDOC,37978,E04-91-0591-055,PART,PART,*,*,12938#BCRTC,+,+
LDOC,37979,E04-91-0591-056,PART,PART,*,*,12937#BCRTC,+,+
