tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,33619,PART,PART,*,*,12361#BCRTC,+,+
LDOC,33620,PART,PART,*,*,3653#BCRTC,+,+
LDOC,33621,PART,PART,*,*,12801#BCRTC,+,+
LDOC,33622,PART,PART,*,*,13797#BCRTC,+,+
LDOC,33623,PART,PART,*,*,13858#BCRTC,+,+
LDOC,33624,PART,PART,*,*,13873#BCRTC,+,+
LDOC,33625,PART,PART,*,*,13902#BCRTC,+,+
LDOC,33626,PART,PART,*,*,3801#BCRTC,+,+
LDOC,33627,PART,PART,*,*,3802#BCRTC,+,+
LDOC,33628,PART,PART,*,*,3803#BCRTC,+,+
LDOC,33629,PART,PART,*,*,3804#BCRTC,+,+
LDOC,33630,PART,PART,*,*,3805#BCRTC,+,+
LDOC,33631,PART,PART,*,*,3808#BCRTC,+,+
LDOC,33632,PART,PART,*,*,3809#BCRTC,+,+
LDOC,33633,PART,PART,*,*,3810#BCRTC,+,+
LDOC,33634,PART,PART,*,*,3812#BCRTC,+,+
LDOC,33635,PART,PART,*,*,3816#BCRTC,+,+
LDOC,33636,PART,PART,*,*,3817#BCRTC,+,+
LDOC,33637,PART,PART,*,*,3818#BCRTC,+,+
LDOC,33638,PART,PART,*,*,3819#BCRTC,+,+
LDOC,33639,PART,PART,*,*,3820#BCRTC,+,+
LDOC,33640,PART,PART,*,*,3821#BCRTC,+,+
LDOC,33641,PART,PART,*,*,3823#BCRTC,+,+
LDOC,33642,PART,PART,*,*,3824#BCRTC,+,+
LDOC,33643,PART,PART,*,*,3825#BCRTC,+,+
LDOC,33644,PART,PART,*,*,3826#BCRTC,+,+
LDOC,33645,PART,PART,*,*,3827#BCRTC,+,+
LDOC,33646,PART,PART,*,*,10838#BCRTC,+,+
LDOC,33647,PART,PART,*,*,10892#BCRTC,+,+
LDOC,33648,PART,PART,*,*,15540#BCRTC,+,+
LDOC,33649,PART,PART,*,*,3828#BCRTC,+,+
LDOC,33650,PART,PART,*,*,3829#BCRTC,+,+
LDOC,33651,PART,PART,*,*,3830#BCRTC,+,+
LDOC,33652,PART,PART,*,*,3831#BCRTC,+,+
LDOC,33653,PART,PART,*,*,3832#BCRTC,+,+
LDOC,33654,PART,PART,*,*,3833#BCRTC,+,+
LDOC,33655,PART,PART,*,*,3834#BCRTC,+,+
LDOC,33656,PART,PART,*,*,3835#BCRTC,+,+
LDOC,33657,PART,PART,*,*,3836#BCRTC,+,+
LDOC,33658,PART,PART,*,*,3838#BCRTC,+,+
LDOC,33659,PART,PART,*,*,3839#BCRTC,+,+
LDOC,33660,PART,PART,*,*,3840#BCRTC,+,+
LDOC,33661,PART,PART,*,*,7058#BCRTC,+,+
LDOC,33662,PART,PART,*,*,7059#BCRTC,+,+
LDOC,33663,PART,PART,*,*,7060#BCRTC,+,+
LDOC,33664,PART,PART,*,*,9785#BCRTC,+,+
LDOC,33665,PART,PART,*,*,7062#BCRTC,+,+
LDOC,33666,PART,PART,*,*,7113#BCRTC,+,+
LDOC,33667,PART,PART,*,*,7118#BCRTC,+,+
LDOC,33668,PART,PART,*,*,7114#BCRTC,+,+
LDOC,33669,PART,PART,*,*,7121#BCRTC,+,+
LDOC,33670,PART,PART,*,*,3842#BCRTC,+,+
LDOC,33671,PART,PART,*,*,3843#BCRTC,+,+
LDOC,33672,PART,PART,*,*,11053#BCRTC,+,+
LDOC,33673,PART,PART,*,*,6662#BCRTC,+,+
LDOC,33674,PART,PART,*,*,13905#BCRTC,+,+
LDOC,33675,PART,PART,*,*,3654#BCRTC,+,+
LDOC,33676,PART,PART,*,*,13907#BCRTC,+,+
LDOC,33677,PART,PART,*,*,13908#BCRTC,+,+
LDOC,33678,PART,PART,*,*,13926#BCRTC,+,+
LDOC,33679,PART,PART,*,*,13929#BCRTC,+,+
LDOC,33680,PART,PART,*,*,13940#BCRTC,+,+
LDOC,33681,PART,PART,*,*,12465#BCRTC,+,+
LDOC,33682,PART,PART,*,*,14003#BCRTC,+,+
LDOC,33683,PART,PART,*,*,14002#BCRTC,+,+
LDOC,33684,PART,PART,*,*,14004#BCRTC,+,+
LDOC,33685,PART,PART,*,*,14047#BCRTC,+,+
LDOC,33686,PART,PART,*,*,14090#BCRTC,+,+
LDOC,33687,PART,PART,*,*,3655#BCRTC,+,+
LDOC,33688,PART,PART,*,*,3656#BCRTC,+,+
