msds,partNumber,Original_FileName,legacy_part_number,Document,desc,tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
0100,21489,msds0100_202305031624.pdf,M40-85-0000-072,34024,"REMOVER, GRAFFITI 20L",LDOC,,PART,PART,*,*,21489#BCRTC,+,+
0100,25924,msds0100_202305031624.pdf,M40-85-0000-086,34024," REMOVER, TRAIN GRAFFITI",LDOC,,PART,PART,*,*,25924#BCRTC,+,+
0101,5321,msds0101_202305031624.pdf,M43-17-0000-022,34036," THREADLOCKER, LOW ST",LDOC,,PART,PART,*,*,5321#BCRTC,+,+
0102,5322,msds0102_202305022233.pdf,M43-17-0000-023,33782," THREADLOCKER, REMOVABLE",LDOC,,PART,PART,*,*,5322#BCRTC,+,+
0104,19595,msds0104_202305022237.pdf,A11-19-0403-008,33805," ADHESIVE, CONTACT R196",LDOC,,PART,PART,*,*,19595#BCRTC,+,+
0105,21802,msds0105_202305031614.pdf,A11-07-0111-005,33990," EPOXY, COLD CURE (2PART",LDOC,,PART,PART,*,*,21802#BCRTC,+,+
0107,6994,msds0107_202305031559.pdf,M43-17-0000-055,33950,"EPOXY, STEEL LIQUID B",LDOC,,PART,PART,*,*,6994#BCRTC,+,+
0108,6994,msds0108_202305031559.pdf,M43-17-0000-055,33935,"EPOXY, STEEL LIQUID B",LDOC,,PART,PART,*,*,6994#BCRTC,+,+
0109,5873,msds0109_202305021953.pdf,M43-17-0000-015,32817,"FLUID, MACH LAYOUT BLUE",LDOC,,PART,PART,*,*,5873#BCRTC,+,+
0110,19770,msds0110_202305021953.pdf,M18-62-0000-049,32818," PAINT, GLOSS WHITE TREMC",LDOC,,PART,PART,*,*,19770#BCRTC,+,+
0111,11008,msds0111_202305021953.pdf,M95-70-0000-065,32819," FLUX, SILVER SOLDER",LDOC,,PART,PART,*,*,11008#BCRTC,+,+
0112,19594,msds0112_202305031559.pdf,A11-19-0403-007,33928," COMPOUND, KIT  2669 BEIG",LDOC,,PART,PART,*,*,19594#BCRTC,+,+
0113,11009,msds0113_202305021956.pdf,M95-70-0000-066,32834," SOLDER, SILVER",LDOC,,PART,PART,*,*,11009#BCRTC,+,+
0114,12127,msds0114_202305021956.pdf,M38-35-0000-019,32835,"&CYLINDER, ACETYLENE MINI",LDOC,,PART,PART,*,*,12127#BCRTC,+,+
0115,24492,msds0115_202305021956.pdf,M43-17-0000-100,32836," THREADLOCKER, LOCTITE 29",LDOC,,PART,PART,*,*,24492#BCRTC,+,+
0116,20184,msds0116_202305021956.pdf,G07-87-0787-020,32837," DISINFECTANT, BACTERIA K",LDOC,,PART,PART,*,*,20184#BCRTC,+,+
0117,23295,msds0117_202305021956.pdf,M40-57-0000-068,32838," GREASE, SUPER LUBE SYNTH",LDOC,,PART,PART,*,*,23295#BCRTC,+,+
0118,17932,msds0118_202305021956.pdf,M40-85-0000-054,32839," GARNET, 20-40 MESH 55LB",LDOC,,PART,PART,*,*,17932#BCRTC,+,+
0119,7066,msds0119_202305021956.pdf,M38-35-0000-002,32840,"&CYLINDER, OXYGEN D",LDOC,,PART,PART,*,*,7066#BCRTC,+,+
0119,12128,msds0119_202305021956.pdf,M38-35-0000-018,32840,"&CYLINDER, OXYGEN MINI",LDOC,,PART,PART,*,*,12128#BCRTC,+,+
0120,18661,msds0120_202305031559.pdf,M43-17-0000-079,33931," ADHESIVE, LOCTITE #638-5",LDOC,,PART,PART,*,*,18661#BCRTC,+,+
0121,24644,msds0121_202305021956.pdf,M43-17-0000-102,32841," ADHESIVE, TIE PLUG GLUE",LDOC,,PART,PART,*,*,24644#BCRTC,+,+
0122,5180,msds0122_202305021956.pdf,M38-35-0000-010,32842,"&EXTINGUISHER, CO2 10#",LDOC,,PART,PART,*,*,5180#BCRTC,+,+
0122,5181,msds0122_202305021956.pdf,M38-35-0000-011,32842,"&EXTINGUISHER, CO2 15#",LDOC,,PART,PART,*,*,5181#BCRTC,+,+
0123,5283,msds0123_202305021956.pdf,M40-85-0000-014,32843," ISOPROPYL, 1 LITRE",LDOC,,PART,PART,*,*,5283#BCRTC,+,+
0124,5335,msds0124_202305021956.pdf,M43-17-0000-040,32844," SEALANT, SILCONE WHITE E",LDOC,,PART,PART,*,*,5335#BCRTC,+,+
0125,5252,msds0125_202305021958.pdf,M43-17-0000-010,32845," BUTANE CYLINDER 165 GRAM",LDOC,,PART,PART,*,*,5252#BCRTC,+,+
0126,20926,msds0126_202305021958.pdf,E04-92-0592-144,32846," PAINT, SPRAY TRMCLAD YEL",LDOC,,PART,PART,*,*,20926#BCRTC,+,+
0127,24644,msds0127_202305021958.pdf,M43-17-0000-102,32847," ADHESIVE, TIE PLUG GLUE",LDOC,,PART,PART,*,*,24644#BCRTC,+,+
0128,20255,msds0128_202305021958.pdf,M40-85-0000-062,32849," REMOVER, GRAFFITI SPRAY",LDOC,,PART,PART,*,*,20255#BCRTC,+,+
0130,5877,msds0130_202305021958.pdf,M40-57-0000-011,32852," GREASE, 400G. CARTRIDGE",LDOC,,PART,PART,*,*,5877#BCRTC,+,+
0131,5271,msds0131_202305021958.pdf,M40-57-0000-035,32853," OIL",LDOC,,PART,PART,*,*,5271#BCRTC,+,+
0132,6862,msds0132_202305021958.pdf,M38-40-0000-018,32854," SOLUTION, LENS CLEAN 4LT",LDOC,,PART,PART,*,*,6862#BCRTC,+,+
0133,21357,msds0133_202305021958.pdf,M18-62-0000-057,32855," PRIMER, THREADLOCKER 764",LDOC,,PART,PART,*,*,21357#BCRTC,+,+
0134,5311,msds0134_202305021958.pdf,M43-17-0000-065,32856,"ADHESIVE, LOCTITE",LDOC,,PART,PART,*,*,5311#BCRTC,+,+
0136,14171,msds0136_202305021958.pdf,M40-57-0000-055,32858," LUBRICANT, LPS TEFLON",LDOC,,PART,PART,*,*,14171#BCRTC,+,+
0141,21936,msds0141_202305021958.pdf,A13-05-0403-008,32860," GREASE, SKF LGAF-3E ANTI",LDOC,,PART,PART,*,*,21936#BCRTC,+,+
0142,5908,msds0142_202305021958.pdf,M43-14-0000-008,32861,"MARKER, GREEN WITNESS",LDOC,,PART,PART,*,*,5908#BCRTC,+,+
0142,5909,msds0142_202305021958.pdf,M43-14-0000-009,32861,"MARKER, ORANGE WITNESS",LDOC,,PART,PART,*,*,5909#BCRTC,+,+
0143,8945,msds0143_202305021958.pdf,M43-17-0000-060,32862," ADHESIVE, LOCTITE",LDOC,,PART,PART,*,*,8945#BCRTC,+,+
0144,24154,msds0144_202305021958.pdf,M52-02-0000-095,32863," ANTI-FOAM, 4LTR AGENT",LDOC,,PART,PART,*,*,24154#BCRTC,+,+
0145,5319,msds0145_202305021958.pdf,M43-17-0000-020,32864," ADHESIVE, LOCTITE 330 DE",LDOC,,PART,PART,*,*,5319#BCRTC,+,+
0146,20269,msds0146_202305021958.pdf,M18-64-0000-014,32865,"COATING, SILICONE",LDOC,,PART,PART,*,*,20269#BCRTC,+,+
0147,20281,msds0147_202305021958.pdf,M18-62-0000-051,32866," PAINT, LATEX GRAFFITI",LDOC,,PART,PART,*,*,20281#BCRTC,+,+
0150,23715,msds0150_202305021958.pdf,M40-57-0000-070,32868," LUBRICANT, LOCK",LDOC,,PART,PART,*,*,23715#BCRTC,+,+
0151,5248,msds0151_202305021958.pdf,M43-17-0000-008,32870," COMPOUND, PENETROX-A 8oz",LDOC,,PART,PART,*,*,5248#BCRTC,+,+
0152,5262,msds0152_202305021958.pdf,M40-57-0000-023,32871," COMPOUND, SILICONE/DIELE",LDOC,,PART,PART,*,*,5262#BCRTC,+,+
0152,7213,msds0152_202305021958.pdf,M43-17-0000-003,32871," COMPOUND, DC-4 8# TUB",LDOC,,PART,PART,*,*,7213#BCRTC,+,+
0153,13957,msds0153_202305021958.pdf,M18-62-0000-029,32872," REDUCER, FAST THINNER",LDOC,,PART,PART,*,*,13957#BCRTC,+,+
0155,20260,msds0155_202305021958.pdf,M38-03-0000-044,32873," DISINFECTANT, ONOX FOOT",LDOC,,PART,PART,*,*,20260#BCRTC,+,+
0156,5885,msds0156_202305021958.pdf,M40-85-0000-001,32874," SOLVENT, ACETONE 1LT",LDOC,,PART,PART,*,*,5885#BCRTC,+,+
0157,5186,msds0157_202305022233.pdf,M38-35-0000-016,33788," TESTER, SMOKE DETECTOR",LDOC,,PART,PART,*,*,5186#BCRTC,+,+
0158,20420,msds0158_202305022000.pdf,M40-85-0000-063,32875," CLEANER, PROTOCOL K-651",LDOC,,PART,PART,*,*,20420#BCRTC,+,+
0159,14771,msds0159_202305022000.pdf,B00-07-0207-015,32876," KIT, SPLICE MULTI PR CAB",LDOC,,PART,PART,*,*,14771#BCRTC,+,+
0161,17711,msds0161_202305022000.pdf,M40-85-0000-052,32878,"VARSOL, 4LTR",LDOC,,PART,PART,*,*,17711#BCRTC,+,+
0162,5282,msds0162_202305022000.pdf,M40-85-0000-013,32879," SOLVENT, 409B 340G",LDOC,,PART,PART,*,*,5282#BCRTC,+,+
0164,5310,msds0164_202305022000.pdf,M43-17-0000-064,32881," ADHESIVE,  LOCTITE 409 Q",LDOC,,PART,PART,*,*,5310#BCRTC,+,+
0165,5259,msds0165_202305022000.pdf,M40-57-0000-009,32882," GREASE, DOW MOLY",LDOC,,PART,PART,*,*,5259#BCRTC,+,+
0169,5273,msds0169_202305022000.pdf,M40-57-0000-037,32886," OIL, ESSO",LDOC,,PART,PART,*,*,5273#BCRTC,+,+
0170,13923,msds0170_202305022000.pdf,M40-57-0000-051,32887," LUBRICANT, LPS-2 12oz",LDOC,,PART,PART,*,*,13923#BCRTC,+,+
0171,5323,msds0171_202305022000.pdf,M43-17-0000-024,32888," THREADLOCKER, HIGH ST",LDOC,,PART,PART,*,*,5323#BCRTC,+,+
0172,12755,msds0172_202305022000.pdf,M43-17-0000-050,32889,"COMPOUND, PENETROX E",LDOC,,PART,PART,*,*,12755#BCRTC,+,+
0173,11073,msds0173_202305022000.pdf,M40-57-0000-046,32890," LUBRICANT, LPS-2",LDOC,,PART,PART,*,*,11073#BCRTC,+,+
0174,20941,msds0174_202305022000.pdf,M43-17-0000-087,32891," FLUID, CUTTING RAPID-TAP",LDOC,,PART,PART,*,*,20941#BCRTC,+,+
0175,14134,msds0175_202305022000.pdf,M40-57-0000-054,32892," OIL, HYDRAULIC NUTO H-C",LDOC,,PART,PART,*,*,14134#BCRTC,+,+
0176,14496,msds0176_202305022000.pdf,M40-85-0000-041,32893," CLEANER, SUPER HFE",LDOC,,PART,PART,*,*,14496#BCRTC,+,+
0178,5314,msds0178_202305022000.pdf,M43-17-0000-068,32896," ADHESIVE, EPOXY PTCH KIT",LDOC,,PART,PART,*,*,5314#BCRTC,+,+
0180,14132,msds0180_202305022000.pdf,M40-85-0000-039,32897,"MEDIA, PLASTIC 20/30 #2",LDOC,,PART,PART,*,*,14132#BCRTC,+,+
