tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,33155,PART,PART,*,*,12758#BCRTC,+,+
LDOC,33155,PART,PART,*,*,12759#BCRTC,+,+
LDOC,33158,PART,PART,*,*,24022#BCRTC,+,+
LDOC,33159,PART,PART,*,*,24023#BCRTC,+,+
LDOC,33161,PART,PART,*,*,24845#BCRTC,+,+
LDOC,33163,PART,PART,*,*,5915#BCRTC,+,+
LDOC,33166,PART,PART,*,*,21158#BCRTC,+,+
LDOC,33167,PART,PART,*,*,14615#BCRTC,+,+
LDOC,33170,PART,PART,*,*,17154#BCRTC,+,+
LDOC,33170,PART,PART,*,*,18042#BCRTC,+,+
LDOC,33171,PART,PART,*,*,14609#BCRTC,+,+
LDOC,33172,PART,PART,*,*,16582#BCRTC,+,+
LDOC,33174,PART,PART,*,*,16800#BCRTC,+,+
LDOC,33176,PART,PART,*,*,18420#BCRTC,+,+
LDOC,33177,PART,PART,*,*,17551#BCRTC,+,+
LDOC,33178,PART,PART,*,*,20938#BCRTC,+,+
LDOC,33179,PART,PART,*,*,16083#BCRTC,+,+
LDOC,33185,PART,PART,*,*,27533#BCRTC,+,+
LDOC,33185,PART,PART,*,*,27655#BCRTC,+,+
LDOC,33186,PART,PART,*,*,28235#BCRTC,+,+
LDOC,33188,PART,PART,*,*,27079#BCRTC,+,+
LDOC,33189,PART,PART,*,*,23177#BCRTC,+,+
LDOC,33191,PART,PART,*,*,27763#BCRTC,+,+
LDOC,33192,PART,PART,*,*,27810#BCRTC,+,+
LDOC,33197,PART,PART,*,*,27846#BCRTC,+,+
LDOC,33209,PART,PART,*,*,24598#BCRTC,+,+
LDOC,33215,PART,PART,*,*,27392#BCRTC,+,+
LDOC,33216,PART,PART,*,*,27391#BCRTC,+,+
LDOC,33217,PART,PART,*,*,28389#BCRTC,+,+
LDOC,33218,PART,PART,*,*,12454#BCRTC,+,+
LDOC,33223,PART,PART,*,*,28237#BCRTC,+,+
LDOC,33233,PART,PART,*,*,27995#BCRTC,+,+
LDOC,33239,PART,PART,*,*,25404#BCRTC,+,+
LDOC,33249,PART,PART,*,*,28238#BCRTC,+,+
LDOC,33263,PART,PART,*,*,25557#BCRTC,+,+
LDOC,33265,PART,PART,*,*,25123#BCRTC,+,+
LDOC,33266,PART,PART,*,*,27076#BCRTC,+,+
LDOC,33267,PART,PART,*,*,27100#BCRTC,+,+
LDOC,33276,PART,PART,*,*,24903#BCRTC,+,+
LDOC,33279,PART,PART,*,*,29087#BCRTC,+,+
LDOC,33281,PART,PART,*,*,14770#BCRTC,+,+
LDOC,33285,PART,PART,*,*,27434#BCRTC,+,+
LDOC,33292,PART,PART,*,*,27184#BCRTC,+,+
LDOC,33293,PART,PART,*,*,27183#BCRTC,+,+
LDOC,33294,PART,PART,*,*,28023#BCRTC,+,+
LDOC,33298,PART,PART,*,*,28043#BCRTC,+,+
LDOC,33303,PART,PART,*,*,24447#BCRTC,+,+
LDOC,33318,PART,PART,*,*,24680#BCRTC,+,+
LDOC,33321,PART,PART,*,*,14778#BCRTC,+,+
LDOC,33321,PART,PART,*,*,14779#BCRTC,+,+
LDOC,33321,PART,PART,*,*,24338#BCRTC,+,+
LDOC,33322,PART,PART,*,*,14778#BCRTC,+,+
LDOC,33322,PART,PART,*,*,14779#BCRTC,+,+
LDOC,33322,PART,PART,*,*,24338#BCRTC,+,+
LDOC,33324,PART,PART,*,*,24547#BCRTC,+,+
LDOC,33327,PART,PART,*,*,21568#BCRTC,+,+
LDOC,33328,PART,PART,*,*,21544#BCRTC,+,+
LDOC,33330,PART,PART,*,*,25004#BCRTC,+,+
LDOC,33331,PART,PART,*,*,20460#BCRTC,+,+
LDOC,33333,PART,PART,*,*,24471#BCRTC,+,+
LDOC,33334,PART,PART,*,*,24470#BCRTC,+,+
LDOC,33335,PART,PART,*,*,24448#BCRTC,+,+
LDOC,33343,PART,PART,*,*,25490#BCRTC,+,+
LDOC,33356,PART,PART,*,*,22053#BCRTC,+,+
LDOC,33363,PART,PART,*,*,21138#BCRTC,+,+
LDOC,33364,PART,PART,*,*,24599#BCRTC,+,+
LDOC,33773,PART,PART,*,*,19174#BCRTC,+,+
LDOC,33774,PART,PART,*,*,4891#BCRTC,+,+
LDOC,33775,PART,PART,*,*,31363#BCRTC,+,+
LDOC,33780,PART,PART,*,*,21397#BCRTC,+,+
LDOC,33781,PART,PART,*,*,5330#BCRTC,+,+
LDOC,33782,PART,PART,*,*,5322#BCRTC,+,+
LDOC,33788,PART,PART,*,*,5186#BCRTC,+,+
LDOC,33790,PART,PART,*,*,14231#BCRTC,+,+
LDOC,33792,PART,PART,*,*,1545#BCRTC,+,+
LDOC,33795,PART,PART,*,*,24239#BCRTC,+,+
LDOC,33798,PART,PART,*,*,6457#BCRTC,+,+
LDOC,33800,PART,PART,*,*,22374#BCRTC,+,+
LDOC,33801,PART,PART,*,*,23314#BCRTC,+,+
LDOC,33805,PART,PART,*,*,19595#BCRTC,+,+
LDOC,33909,PART,PART,*,*,5287#BCRTC,+,+
LDOC,33911,PART,PART,*,*,212#BCRTC,+,+
LDOC,33912,PART,PART,*,*,24155#BCRTC,+,+
LDOC,33912,PART,PART,*,*,24156#BCRTC,+,+
LDOC,33912,PART,PART,*,*,24157#BCRTC,+,+
LDOC,33912,PART,PART,*,*,24158#BCRTC,+,+
LDOC,33912,PART,PART,*,*,24159#BCRTC,+,+
LDOC,33912,PART,PART,*,*,24160#BCRTC,+,+
LDOC,33912,PART,PART,*,*,24161#BCRTC,+,+
LDOC,33912,PART,PART,*,*,24163#BCRTC,+,+
LDOC,33912,PART,PART,*,*,24164#BCRTC,+,+
LDOC,33912,PART,PART,*,*,24165#BCRTC,+,+
LDOC,33912,PART,PART,*,*,24187#BCRTC,+,+
LDOC,33912,PART,PART,*,*,24188#BCRTC,+,+
LDOC,33913,PART,PART,*,*,17550#BCRTC,+,+
LDOC,33918,PART,PART,*,*,23316#BCRTC,+,+
LDOC,33919,PART,PART,*,*,16853#BCRTC,+,+
LDOC,33920,PART,PART,*,*,5261#BCRTC,+,+
LDOC,33921,PART,PART,*,*,21663#BCRTC,+,+
LDOC,33924,PART,PART,*,*,22779#BCRTC,+,+
LDOC,33925,PART,PART,*,*,5308#BCRTC,+,+
LDOC,33928,PART,PART,*,*,19594#BCRTC,+,+
LDOC,33931,PART,PART,*,*,18661#BCRTC,+,+
LDOC,33933,PART,PART,*,*,5329#BCRTC,+,+
LDOC,33935,PART,PART,*,*,6994#BCRTC,+,+
LDOC,33936,PART,PART,*,*,24121#BCRTC,+,+
LDOC,33938,PART,PART,*,*,7010#BCRTC,+,+
LDOC,33939,PART,PART,*,*,14215#BCRTC,+,+
LDOC,33941,PART,PART,*,*,5918#BCRTC,+,+
LDOC,33945,PART,PART,*,*,22138#BCRTC,+,+
LDOC,33947,PART,PART,*,*,16997#BCRTC,+,+
LDOC,33948,PART,PART,*,*,17170#BCRTC,+,+
LDOC,33949,PART,PART,*,*,5914#BCRTC,+,+
LDOC,33950,PART,PART,*,*,6994#BCRTC,+,+
LDOC,33951,PART,PART,*,*,25345#BCRTC,+,+
LDOC,33951,PART,PART,*,*,5916#BCRTC,+,+
LDOC,33957,PART,PART,*,*,4887#BCRTC,+,+
LDOC,33958,PART,PART,*,*,5251#BCRTC,+,+
LDOC,33968,PART,PART,*,*,5313#BCRTC,+,+
LDOC,33972,PART,PART,*,*,5838#BCRTC,+,+
LDOC,33973,PART,PART,*,*,1447#BCRTC,+,+
LDOC,33974,PART,PART,*,*,5258#BCRTC,+,+
LDOC,33975,PART,PART,*,*,20243#BCRTC,+,+
LDOC,33975,PART,PART,*,*,20244#BCRTC,+,+
LDOC,33975,PART,PART,*,*,7196#BCRTC,+,+
LDOC,33977,PART,PART,*,*,18393#BCRTC,+,+
LDOC,33978,PART,PART,*,*,5309#BCRTC,+,+
LDOC,33979,PART,PART,*,*,2606#BCRTC,+,+
LDOC,33980,PART,PART,*,*,27416#BCRTC,+,+
LDOC,33982,PART,PART,*,*,4886#BCRTC,+,+
LDOC,33984,PART,PART,*,*,21506#BCRTC,+,+
LDOC,33986,PART,PART,*,*,5883#BCRTC,+,+
LDOC,33988,PART,PART,*,*,5325#BCRTC,+,+
LDOC,33989,PART,PART,*,*,24065#BCRTC,+,+
LDOC,33990,PART,PART,*,*,21802#BCRTC,+,+
LDOC,33992,PART,PART,*,*,17171#BCRTC,+,+
LDOC,33993,PART,PART,*,*,21923#BCRTC,+,+
LDOC,33997,PART,PART,*,*,18169#BCRTC,+,+
LDOC,33998,PART,PART,*,*,5884#BCRTC,+,+
LDOC,33999,PART,PART,*,*,5922#BCRTC,+,+
LDOC,34000,PART,PART,*,*,23720#BCRTC,+,+
LDOC,34003,PART,PART,*,*,5025#BCRTC,+,+
LDOC,34004,PART,PART,*,*,5263#BCRTC,+,+
LDOC,34006,PART,PART,*,*,27835#BCRTC,+,+
LDOC,34009,PART,PART,*,*,5921#BCRTC,+,+
LDOC,34013,PART,PART,*,*,5250#BCRTC,+,+
LDOC,34014,PART,PART,*,*,5337#BCRTC,+,+
LDOC,34015,PART,PART,*,*,10410#BCRTC,+,+
LDOC,34015,PART,PART,*,*,5621#BCRTC,+,+
LDOC,34016,PART,PART,*,*,5974#BCRTC,+,+
LDOC,34018,PART,PART,*,*,17907#BCRTC,+,+
LDOC,34020,PART,PART,*,*,5614#BCRTC,+,+
LDOC,34020,PART,PART,*,*,5615#BCRTC,+,+
LDOC,34020,PART,PART,*,*,5616#BCRTC,+,+
LDOC,34020,PART,PART,*,*,5617#BCRTC,+,+
LDOC,34020,PART,PART,*,*,5618#BCRTC,+,+
LDOC,34020,PART,PART,*,*,5619#BCRTC,+,+
LDOC,34020,PART,PART,*,*,5620#BCRTC,+,+
LDOC,34024,PART,PART,*,*,21489#BCRTC,+,+
LDOC,34024,PART,PART,*,*,25924#BCRTC,+,+
LDOC,34025,PART,PART,*,*,10332#BCRTC,+,+
LDOC,34025,PART,PART,*,*,24539#BCRTC,+,+
LDOC,34027,PART,PART,*,*,19175#BCRTC,+,+
LDOC,34028,PART,PART,*,*,20237#BCRTC,+,+
LDOC,34031,PART,PART,*,*,10084#BCRTC,+,+
LDOC,34032,PART,PART,*,*,9668#BCRTC,+,+
LDOC,34034,PART,PART,*,*,5880#BCRTC,+,+
LDOC,34036,PART,PART,*,*,5321#BCRTC,+,+
LDOC,34039,PART,PART,*,*,24493#BCRTC,+,+
LDOC,34042,PART,PART,*,*,20284#BCRTC,+,+
LDOC,34045,PART,PART,*,*,24219#BCRTC,+,+
LDOC,34046,PART,PART,*,*,18510#BCRTC,+,+
